Categoría,Marca,Franquicia,MLA,Full Price,Final Price,Markdown %,Cuotas,Talles,URL,Fecha,Nombre Producto
FUTBOL,Nike,CLUB,1435975403,$ 119.999,$ 71.001,40.8%,3,2,https://articulo.mercadolibre.com.ar/MLA-1435975403-botines-nike-phantom-gx-2-club-pasto-natural-blanco-_JM?searchVariation=180951018074#polycard_client=search-desktop&searchVariation=180951018074&search_layout=grid&position=12&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Phantom Gx 2 Club Pasto Natural Blanco
FUTBOL,Nike,CLUB,1483775647,$ 119.999,$ 77.198,35.7%,3,2,https://articulo.mercadolibre.com.ar/MLA-1483775647-botines-nike-unisex-phantom-gx-2-club-verde-_JM?searchVariation=187251456977#polycard_client=search-desktop&searchVariation=187251456977&search_layout=grid&position=13&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Unisex Phantom Gx 2 Club Verde
FUTBOL,Nike,PRO,1552799601,$ 289.999,$ 173.825,40.1%,3,,https://articulo.mercadolibre.com.ar/MLA-1552799601-botines-nike-mercurial-vapor-16-pro-rojo-fq8687-800-_JM?searchVariation=185986098530#polycard_client=search-desktop&searchVariation=185986098530&search_layout=grid&position=1&type=item&tracking_id=8c327150-f8ff-4f5e-ab6a-aa08e4f63b8e,2026-03-13,Botines Nike Mercurial Vapor 16 Pro Rojo Fq8687-800
FUTBOL,Nike,CLUB,1483632803,$ 129.999,$ 84.499,35.0%,3,2,https://articulo.mercadolibre.com.ar/MLA-1483632803-botines-nike-mercurial-vapor-16-club-rojo-_JM?searchVariation=187251291599#polycard_client=search-desktop&searchVariation=187251291599&search_layout=grid&position=15&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Mercurial Vapor 16 Club Rojo
FUTBOL,Adidas,LEAGUE,1508133929,$ 149.999,$ 91.192,39.2%,3,2,https://articulo.mercadolibre.com.ar/MLA-1508133929-botines-f50-league-terreno-firmemultiterreno-ji0003-adidas-_JM?searchVariation=184127131036#polycard_client=search-desktop&searchVariation=184127131036&search_layout=grid&position=1&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines F50 League Terreno Firme/multiterreno Ji0003 adidas
FUTBOL,Adidas,CLUB,1508180227,$ 109.999,$ 102.409,6.9%,3,,https://articulo.mercadolibre.com.ar/MLA-1508180227-botines-copa-pure-3-club-para-pasto-sintetico-jr2893-adidas-_JM?searchVariation=188773303971#polycard_client=search-desktop&searchVariation=188773303971&search_layout=grid&position=3&type=item&tracking_id=ad60f464-1e2d-4909-8b70-454ec4edaa3b,2026-03-13,Botines Copa Pure 3 Club Para Pasto Sintético Jr2893 adidas
FUTBOL,Adidas,CLUB,1508180229,$ 99.999,$ 99.999,0.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-1508180229-botines-copa-pure-3-club-terreno-firmemultiterreno-jr2896-a-_JM?searchVariation=188773303985#polycard_client=search-desktop&searchVariation=188773303985&search_layout=grid&position=10&type=item&tracking_id=ad60f464-1e2d-4909-8b70-454ec4edaa3b,2026-03-13,Botines Copa Pure 3 Club Terreno Firme/multiterreno Jr2896 A
FUTBOL,Adidas,CLUB,1489358895,$ 99.999,$ 99.999,0.0%,0,2,https://articulo.mercadolibre.com.ar/MLA-1489358895-f50-club-fgmg-messi-ih0929-adidas-_JM?searchVariation=183357845182#polycard_client=search-desktop&searchVariation=183357845182&search_layout=grid&position=13&type=item&tracking_id=ad60f464-1e2d-4909-8b70-454ec4edaa3b,2026-03-13,F50 Club Fg/mg Messi Ih0929 adidas
FUTBOL,Adidas,CLUB,1508120465,$ 99.999,$ 67.549,32.5%,3,1,https://articulo.mercadolibre.com.ar/MLA-1508120465-botines-predator-club-terreno-firmemultiterreno-jh8847-adid-_JM?searchVariation=184127015656#polycard_client=search-desktop&searchVariation=184127015656&search_layout=grid&position=14&type=item&tracking_id=ad60f464-1e2d-4909-8b70-454ec4edaa3b,2026-03-13,Botines Predator Club Terreno Firme/multiterreno Jh8847 Adid
FUTBOL,Adidas,CLUB,1508068973,$ 109.999,$ 109.999,0.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-1508068973-botines-f50-club-pasto-sintetico-ji0025-adidas-_JM?searchVariation=184127079234#polycard_client=search-desktop&searchVariation=184127079234&search_layout=grid&position=16&type=item&tracking_id=ad60f464-1e2d-4909-8b70-454ec4edaa3b,2026-03-13,Botines F50 Club Pasto Sintético Ji0025 adidas
