Categoría,Marca,Franquicia,MLA,Full Price,Final Price,Markdown %,Cuotas,Talles,URL,Fecha,Nombre Producto
Running,Adidas,RESPONSE,2535889754,$ 129.999,$ 129.999,0.0%,3,14,https://articulo.mercadolibre.com.ar/MLA-2535889754-zapatillas-adidas-running-response-2-hombre-negro-kj1748-_JM?searchVariation=192612068415&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=192612068415&search_layout=grid&position=6&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Running Response 2 Hombre Negro Kj1748
Running,Adidas,RESPONSE,2584068022,$ 99.999,$ 99.999,0.0%,3,12,https://articulo.mercadolibre.com.ar/MLA-2584068022-zapatillas-adidas-running-response-2-unisex-azul-kj1739-_JM?searchVariation=193194359249&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=193194359249&search_layout=grid&position=7&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Running Response 2 Unisex Azul Kj1739
Running,Adidas,RESPONSE,2622882434,$ 129.999,$ 129.999,0.0%,3,7,https://articulo.mercadolibre.com.ar/MLA-2622882434-zapatillas-adidas-running-response-2-hombre-azul-kj1756-_JM?searchVariation=187663706992&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=187663706992&search_layout=grid&position=8&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Running Response 2 Hombre Azul Kj1756
Running,Adidas,RESPONSE,1587583585,$ 99.999,$ 99.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1587583585-zapatillas-adidas-running-response-2-unisex-azul-kj1744-_JM?searchVariation=187255322428&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=187255322428&search_layout=grid&position=12&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Running Response 2 Unisex Azul Kj1744
Running,Adidas,RESPONSE,2623307914,$ 149.999,$ 149.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2623307914-zapatillas-adidas-golf-tech-response-sl-30-hombre-gv6896-_JM?searchVariation=187664205134&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=187664205134&search_layout=grid&position=14&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Golf Tech Response Sl 3.0 Hombre Gv6896
Running,Adidas,RESPONSE,1599072757,$ 129.999,$ 129.999,0.0%,6,,https://articulo.mercadolibre.com.ar/MLA-1599072757-zapatillas-adidas-running-response-2-hombre-gris-kj1754-_JM?searchVariation=193686402139&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=193686402139&search_layout=grid&position=15&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Running Response 2 Hombre Gris Kj1754
Running,Adidas,RESPONSE,1599024179,$ 129.999,$ 129.999,0.0%,6,,https://articulo.mercadolibre.com.ar/MLA-1599024179-zapatillas-adidas-running-response-2-hombre-negro-kj1755-_JM?searchVariation=193686808017&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=193686808017&search_layout=grid&position=16&type=item&tracking_id=c5ab071e-0732-4862-8b1d-429346a14e10,2026-03-11,Zapatillas adidas Running Response 2 Hombre Negro Kj1755
Running,Nike,DEFY,2099658008,$ 99.999,$ 99.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2099658008-zapatillas-nike-run-defy-para-hombre-hm9594-004-_JM?searchVariation=183790377398#polycard_client=search-desktop&searchVariation=183790377398&search_layout=grid&position=1&type=item&tracking_id=46df0e87-9265-4a95-b847-f85758faec57,2026-03-11,Zapatillas Nike Run Defy Para Hombre Hm9594-004
Running,Nike,DEFY,2099965872,$ 99.999,$ 99.999,0.0%,6,7,https://articulo.mercadolibre.com.ar/MLA-2099965872-zapatillas-nike-run-defy-para-hombre-hm9594-002-_JM?searchVariation=188221209961#polycard_client=search-desktop&searchVariation=188221209961&search_layout=grid&position=2&type=item&tracking_id=46df0e87-9265-4a95-b847-f85758faec57,2026-03-11,Zapatillas Nike Run Defy Para Hombre Hm9594-002
Running,Nike,DEFY,2099658006,$ 99.999,$ 99.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2099658006-zapatillas-nike-run-defy-para-mujer-hm9593-002-_JM?searchVariation=183790377380#polycard_client=search-desktop&searchVariation=183790377380&search_layout=grid&position=3&type=item&tracking_id=46df0e87-9265-4a95-b847-f85758faec57,2026-03-11,Zapatillas Nike Run Defy Para Mujer Hm9593-002
Running,Nike,DEFY,2099748692,$ 99.999,$ 99.999,0.0%,6,4,https://articulo.mercadolibre.com.ar/MLA-2099748692-zapatillas-nike-run-defy-para-hombre-hm9594-001-_JM?searchVariation=188221505827#polycard_client=search-desktop&searchVariation=188221505827&search_layout=grid&position=4&type=item&tracking_id=46df0e87-9265-4a95-b847-f85758faec57,2026-03-11,Zapatillas Nike Run Defy Para Hombre Hm9594-001
Running,Nike,DEFY,2099580442,$ 99.999,$ 99.999,0.0%,3,4,https://articulo.mercadolibre.com.ar/MLA-2099580442-zapatillas-nike-run-defy-para-hombre-hm9594-400-_JM?searchVariation=188221402253#polycard_client=search-desktop&searchVariation=188221402253&search_layout=grid&position=5&type=item&tracking_id=46df0e87-9265-4a95-b847-f85758faec57,2026-03-11,Zapatillas Nike Run Defy Para Hombre Hm9594-400
Running,Adidas,RUNFALCON,1476939931,$ 109.999,$ 109.999,0.0%,3,10,https://articulo.mercadolibre.com.ar/MLA-1476939931-zapatillas-de-running-runfalcon-5-ih7759-adidas-_JM?searchVariation=186938504995&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=186938504995&search_layout=grid&position=2&type=item&tracking_id=0a047c3a-5c8f-4d35-9512-af9a0cbc89a1,2026-03-11,Zapatillas De Running Runfalcon 5 Ih7759 adidas
Running,Adidas,RUNFALCON,1476888067,$ 109.999,$ 109.999,0.0%,3,9,https://articulo.mercadolibre.com.ar/MLA-1476888067-zapatillas-de-running-runfalcon-5-ie8828-adidas-_JM?searchVariation=186938559753&pdp_filters=official_store%3A964#polycard_client=search-desktop&searchVariation=186938559753&search_layout=grid&position=5&type=item&tracking_id=0a047c3a-5c8f-4d35-9512-af9a0cbc89a1,2026-03-11,Zapatillas De Running Runfalcon 5 Ie8828 adidas
